combo,avg_weight,n_trades,strategy_sharpe,passive_sharpe,mean_excess_per_bar
04_bollinger_meanrev × BRENTCMDUSD1440_comma,0.26258205689277897,110,-0.011259144257040082,0.1056450108120119,-5.117677773631308e-05
04_bollinger_meanrev × DEUIDXEUR1440_comma,0.2116286339481088,136,0.5766859295047106,0.5381616936941728,0.00020059522339061614
04_bollinger_meanrev × EURUSD1440_comma,0.26383244763988745,112,-0.017434109236034074,-0.04955543404033068,1.130324422310269e-06
04_bollinger_meanrev × GBPUSD1440_comma,0.26195686151922476,122,0.0172399608377199,-0.04140859406938063,7.29189914986355e-06
04_bollinger_meanrev × GBRIDXGBP1440_comma,0.23413566739606126,150,0.5167678975669991,0.2947239499978239,0.0001648283193048812
04_bollinger_meanrev × USA30IDXUSD1440_comma,0.2031884964051266,114,0.3370065340560379,0.6445902352611289,7.318280510694748e-05
04_bollinger_meanrev × USA500IDXUSD1440_comma,0.17630509534229447,114,0.4242631634781557,0.7582137152925473,0.00010894142937599271
04_bollinger_meanrev × USATECHIDXUSD1440_comma,0.16755236011253516,108,0.5379094449268599,0.9143726035632954,0.00016051834627770048
04_bollinger_meanrev × USDCAD1440_comma,0.20225070334479525,87,-0.16632305750917825,0.34338689424523255,-3.979698747139735e-05
04_bollinger_meanrev × USDCHF1440_comma,0.26820881525476714,135,0.408619911462853,-0.14819561800608777,8.700146123084909e-05
04_bollinger_meanrev × USDJPY1440_comma,0.21663019693654267,99,0.09554433212152977,0.39954185676008863,-1.2312591239253497e-05
04_bollinger_meanrev × XAGUSD1440_comma,0.2663332291341044,108,0.06660733523955807,0.5011824257106846,-0.0001223283694440294
04_bollinger_meanrev × xauusd_1D_comma,0.20600187558612065,100,0.35285206753590453,0.7024950664199167,3.127899675499443e-06
05_donchian_breakout × BRENTCMDUSD1440_comma,0.3801187871209753,97,0.3059145476296188,0.10564501081201194,0.0001726575058822048
05_donchian_breakout × DEUIDXEUR1440_comma,0.44013754298218194,116,0.1410490572437703,0.538161693694173,-0.00012456612342025202
05_donchian_breakout × EURUSD1440_comma,0.34229446702094407,117,-0.4508984920910386,-0.04955543404033074,-7.438045889003304e-05
05_donchian_breakout × GBPUSD1440_comma,0.3813691778680838,107,-0.3996458221957055,-0.0414085940693806,-7.963437485410208e-05
05_donchian_breakout × GBRIDXGBP1440_comma,0.3885589246639575,113,-0.08733485316524901,0.2947239499978239,-9.411942637752454e-05
05_donchian_breakout × USA30IDXUSD1440_comma,0.5160987808690216,113,0.432599766746413,0.644590235261129,-7.055211979596815e-05
05_donchian_breakout × USA500IDXUSD1440_comma,0.55423569865583,119,0.5716522629717988,0.7582137152925476,-7.893310388144537e-05
05_donchian_breakout × USATECHIDXUSD1440_comma,0.5532979055954986,109,0.8039866840261073,0.9143726035632953,-6.506730214227236e-05
05_donchian_breakout × USDCAD1440_comma,0.4492028758987183,104,0.09055073140038737,0.3433868942452326,-2.553890023322922e-05
05_donchian_breakout × USDCHF1440_comma,0.3285401688027509,98,-0.4219629064934888,-0.14819561800608777,-8.76293728223318e-05
05_donchian_breakout × USDJPY1440_comma,0.4235698655829947,104,0.08208266294115435,0.3995418567600885,-4.3195407240755945e-05
05_donchian_breakout × XAGUSD1440_comma,0.3860581431697405,101,0.2792228611168241,0.5011824257106846,2.005765945236208e-05
05_donchian_breakout × xauusd_1D_comma,0.424507658643326,105,0.31562523691932143,0.7024950664199167,-4.033695891880515e-05
06_macd_cross × BRENTCMDUSD1440_comma,0.016880275085964364,1350,-0.024435342206070895,0.10564501081201187,-3.849337433527465e-05
06_macd_cross × DEUIDXEUR1440_comma,0.01312910284463895,1162,-0.12668712796060536,0.5381616936941731,-0.00010179632523674505
06_macd_cross × EURUSD1440_comma,0.0087527352297593,667,-0.789167390152991,-0.0495554340403307,-0.0002422050107004033
06_macd_cross × GBPUSD1440_comma,-0.0087527352297593,706,-0.32362240628783173,0.04140859406938069,-0.00011403354275359728
06_macd_cross × GBRIDXGBP1440_comma,-0.0031259768677711786,994,-0.24750978850197047,-0.29472394999782386,-0.00014887341825409742
06_macd_cross × USA30IDXUSD1440_comma,0.02313222882150672,1009,0.07846311682806814,0.6445902352611289,4.190771233651544e-05
06_macd_cross × USA500IDXUSD1440_comma,0.02313222882150672,1064,-0.18043674881413688,0.7582137152925473,-0.00013378113723262367
06_macd_cross × USATECHIDXUSD1440_comma,0.043138480775242266,1125,-0.21584413198778968,0.9143726035632956,-0.00021182173570369561
06_macd_cross × USDCAD1440_comma,-0.0031259768677711786,659,-0.45529935392797705,-0.34338689424523267,-0.00012846361191366781
06_macd_cross × USDCHF1440_comma,0.030009377930603313,691,-0.48628672795482697,-0.14819561800608774,-0.00017428689790817935
06_macd_cross × USDJPY1440_comma,0.04188809002813379,749,0.00041737216049837024,0.3995418567600884,-5.958138786571912e-06
06_macd_cross × XAGUSD1440_comma,0.03938730853391685,1152,0.26310480472239656,0.5011824257106846,0.0002865314800043204
