status,data_path,timeframe,rsi_length,bb_length,bb_mult,n_windows,mean_IS_sharpe,mean_OOS_sharpe,degradation_ratio,robust,chained_OOS_sharpe,chained_OOS_benchmark_sharpe,chained_OOS_excess_sharpe,chained_OOS_CAGR,chained_OOS_maxdd,n_low_confidence,has_edge
success,data/raw/onehours/GBPUSD60_comma.csv,1H,6,20,2.0,26,0.331,0.307,0.928,True,0.455,-1.214,1.67,3.82,-34.97,26,True
success,data/raw/onehours/USA500IDXUSD60_comma.csv,1H,6,50,1.5,16,-0.042,-0.042,1.003,False,0.08,-1.498,1.578,-0.22,-39.37,16,True
success,data/raw/onehours/GBPUSD60_comma.csv,1H,6,100,2.0,26,0.119,0.226,1.896,True,0.297,-1.253,1.549,2.32,-19.84,26,True
success,data/raw/onehours/GBPUSD60_comma.csv,1H,6,200,2.0,26,0.114,0.318,2.789,True,0.351,-1.193,1.543,2.83,-20.13,26,True
success,data/raw/onehours/USATECHIDXUSD60_comma.csv,1H,6,100,1.5,16,-0.023,-0.073,3.241,False,-0.027,-1.452,1.424,-3.22,-47.21,16,True
success,data/raw/onehours/GBPUSD60_comma.csv,1H,14,100,1.5,26,0.097,0.232,2.395,True,0.211,-1.2,1.411,1.52,-27.44,26,True
success,data/raw/onehours/GBRIDXGBP60_comma.csv,1H,14,200,1.5,16,0.265,0.185,0.696,True,0.131,-1.249,1.381,0.86,-41.75,16,True
success,data/raw/onehours/USA500IDXUSD60_comma.csv,1H,6,100,1.5,16,-0.521,-0.529,1.016,False,-0.5,-1.86,1.359,-10.74,-64.39,16,True
success,data/raw/onehours/USA30IDXUSD60_comma.csv,1H,6,200,1.5,16,-0.393,-0.003,0.008,False,-0.119,-1.467,1.348,-3.78,-54.45,16,True
success,data/raw/onehours/GBRIDXGBP60_comma.csv,1H,6,20,1.5,16,-0.29,-0.221,0.763,False,-0.118,-1.435,1.317,-3.2,-47.91,16,True
success,data/raw/fourhours/GBRIDXGBP240_comma.csv,4H,6,100,1.5,18,0.466,0.629,1.349,True,0.526,-0.76,1.286,7.5,-30.03,18,True
success,data/raw/fourhours/DEUIDXEUR240_comma.csv,4H,6,100,1.5,19,0.365,0.341,0.935,True,0.454,-0.739,1.194,7.18,-42.59,19,True
success,data/raw/onehours/GBPUSD60_comma.csv,1H,14,200,1.5,26,-0.397,-0.344,0.868,False,-0.301,-1.49,1.19,-3.12,-40.21,26,True
success,data/raw/fourhours/GBPUSD240_comma.csv,4H,6,50,1.5,27,-0.121,-0.167,1.382,False,-0.03,-1.214,1.184,-0.69,-27.49,27,True
success,data/raw/fourhours/GBPUSD240_comma.csv,4H,6,100,1.5,27,-0.036,0.16,-4.432,False,0.14,-1.044,1.184,0.87,-22.71,27,True
success,data/raw/onehours/USA500IDXUSD60_comma.csv,1H,6,200,2.0,16,0.364,0.431,1.185,True,0.421,-0.743,1.163,6.51,-29.94,16,True
success,data/raw/onehours/USA500IDXUSD60_comma.csv,1H,6,200,1.5,16,-0.196,-0.04,0.205,False,-0.089,-1.155,1.065,-3.42,-45.96,16,True
success,data/raw/onehours/GBRIDXGBP60_comma.csv,1H,14,50,1.5,16,0.268,0.484,1.807,True,0.261,-0.804,1.065,3.03,-36.1,16,True
success,data/raw/onehours/USATECHIDXUSD60_comma.csv,1H,6,200,1.5,16,-0.257,-0.063,0.243,False,-0.14,-1.199,1.059,-5.72,-70.01,16,True
